tweet;replies_count;retweets_count;likes_count
@SCTV dan @vidio membuat sulit nonton final piala dunia. Anehnya, sblm  pertandingan dimulai, siaran baik2 saja, setelah kick off malah hilang sinyal. Memang lebih baik langganan @beINSPORTS;0;0;0
Jujur gue mah baru nonton piala dunia pas final doang udah;0;0;0
@panditfootball Asliii...gokillll..Final terbaik sejak 2010 menyaksikan piala dunia;0;0;0
Cuma laki gw ini kayanya yg ga bikin status final piala dunia wkwkwkwkw soalnya jagoannya kalah 😂;0;0;0
Prancis Ditumbangkan Argentina di Final Piala Dunia 2022, Hugo Lloris Bilang Begini #LengkapCepatBeritanya #Bola #SepakBola #SepakbolaDunia #BolaDunia .  https://t.co/wpNphMZU2C;0;0;1
saya tidak peduli dengan rating dari thread saya, yang jelas piala dunia tahun ini sangat tidak benar, final terasa diatur, final baru terasa ketika goal kedua Prancis tercipta, wasit bermain aman agar tak terkena hujatan orang-orang di seluruh dunia.;2;0;0
Pertandingan final piala dunia Qatar ini luar biasa kereeeeennnn;0;0;0
"Argentina &amp; Perancis masuk putaran Final World Cup Qatar 2022  Pertandingan akan berlangsung di Stadion Lusail Iconic, tentu hal ini mengundang banyak spekulasi , Masmen BUMN @erickthohir  meyakini &amp; berharap dominasi piala dunia harus merata jgn melulu Eropa   #BangkitBersamaET  https://t.co/6pHTwCnbYC";0;12;14
@idextratime Back to back final piala dunia di umur 23, hattrick di final piala dunia 👍;0;0;0
Jokowi dengan tegas meminta negara-negara Uni Eropa tidak mendikte negara-negara ASEAN.  #FIFAWorldCup #Qatar2022 WHAT A FINAL WHAT A GAME Emi Martinez Piala Dunia Juara Dunia Maradona Di Maria Ronaldo Prancis Lautaro Menang Dybala Kalah  https://t.co/w9iK8MShYm;0;1;0
Yang tertinggal sholat shubuh gara gara nobar final piala dunia, kurang syukur gimana pagi ini kalian masih diberi kesempatan masih bisa bangun dari tidur.;0;0;5
